name Chautauqua 7/12
id 891
first Kay
last Brownfield
sdate 20120715
edate 20120718
housecost_type Total
single_bath 20
single 20
dble_bath 20
dble 20
triple 20
dormitory 20
economy 20
center_tent 20
own_tent 20
own_van 20
commuting 20
fixed_cost_houses 
fch_encoded 
14|108|2|1|0|1
5|201|2|0|0|1
6|203|2|0|0|1
31|205|2|0|0|1
32|207|2|0|0|1
30|208|4|0|0|1
25|209|2|0|0|1
26|210|4|0|0|1
34|212|2|1|0|1
36|214|2|1|0|1
38|216|2|1|0|1
90|OAKS 43|1|0|1|1
67|OAKS 46|1|0|1|1
68|OAKS 47|1|0|1|1
117|OC 1|2|0|0|1
118|OC 2|2|0|0|1
119|OC 3|2|0|0|1
120|OC 4|2|0|0|1
121|OC 5|2|0|0|1
122|OC 6|2|0|0|1
123|OC 7|2|0|0|1
124|OC 8|2|0|0|1
41|RAM 1A|2|0|0|1
42|RAM 1B|2|0|0|1
